tract_2010,Neighborhood,restriction,degree
531600,Oak Forest East,current,half
531200,Oak Forest East,current,most
531700,Oak Forest East,current,most
531000,Oak Forest East,current,most
531100,Oak Forest East,current,most
530200,Oak Forest East,current,some
531400,Oak Forest West,never,some
531500,Oak Forest West,never,half
531600,Oak Forest West,never,half
431600,Tanglewood,current,half
431700,Tanglewood,current,half
310300,Eastwood,current,half
410800,Lancaster Place,current,some
410702,Lancaster Place,current,some
410800,Winlow Place,removed,some
510300,Heights,removed,half
511400,Heights,removed,some
510400,Heights,removed,some
511302,Heights,removed,some
412200,Braeswood,removed,half